"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2014","22.13","22.40","22.53","21.99","5.39M","-0.81%"
"Dec 30, 2014","22.31","22.55","22.65","22.30","2.84M","-1.15%"
"Dec 29, 2014","22.57","22.33","22.71","22.32","3.45M","0.98%"
"Dec 26, 2014","22.35","21.98","22.42","21.94","2.99M","1.64%"
"Dec 24, 2014","21.99","21.60","22.09","21.60","1.83M","1.85%"
"Dec 23, 2014","21.59","21.41","21.82","21.34","3.95M","0.84%"
"Dec 22, 2014","21.41","21.98","22.03","21.21","6.03M","-2.01%"
"Dec 19, 2014","21.85","21.54","22.02","21.47","9.97M","1.44%"
"Dec 18, 2014","21.54","21.60","21.70","21.28","6.09M","1.17%"
"Dec 17, 2014","21.29","20.91","21.49","20.69","7.45M","5.82%"
"Dec 16, 2014","20.12","20.25","20.71","20.09","7.78M","-1.13%"
"Dec 15, 2014","20.35","20.56","20.71","20.07","8.47M","-0.83%"
"Dec 12, 2014","20.52","21.03","21.03","20.51","8.05M","-3.07%"
"Dec 11, 2014","21.17","21.11","21.32","21.02","6.51M","0.47%"
"Dec 10, 2014","21.07","21.83","21.85","21.03","4.73M","-3.79%"
"Dec 09, 2014","21.90","21.77","22.06","21.69","5.50M","0.37%"
"Dec 08, 2014","21.82","22.12","22.21","21.70","6.03M","-0.37%"
"Dec 05, 2014","21.90","22.03","22.05","21.86","5.16M","-0.50%"
"Dec 04, 2014","22.01","21.82","22.16","21.79","7.27M","0.78%"
"Dec 03, 2014","21.84","22.32","22.40","21.39","10.21M","-2.76%"
"Dec 02, 2014","22.46","22.50","22.61","22.33","4.38M","-0.04%"
"Dec 01, 2014","22.47","22.86","22.90","22.45","3.29M","-2.13%"
"Nov 28, 2014","22.96","22.94","23.19","22.90","1.53M","-0.30%"
"Nov 26, 2014","23.03","22.90","23.04","22.76","1.99M","0.79%"
"Nov 25, 2014","22.85","23.32","23.34","22.82","5.79M","-1.68%"
"Nov 24, 2014","23.24","23.35","23.50","23.15","5.89M","-0.39%"
"Nov 21, 2014","23.33","23.25","23.52","23.25","4.97M","0.47%"
"Nov 20, 2014","23.22","23.22","23.44","23.07","3.00M","-0.26%"
"Nov 19, 2014","23.28","23.71","23.75","23.21","4.36M","-2.02%"
"Nov 18, 2014","23.76","23.61","23.89","23.55","3.19M","1.02%"
"Nov 17, 2014","23.52","23.53","23.63","23.39","4.81M","-0.34%"
"Nov 14, 2014","23.60","23.70","23.71","23.57","2.63M","-0.80%"
"Nov 13, 2014","23.79","23.98","24.00","23.57","4.42M","-0.83%"
"Nov 12, 2014","23.99","24.06","24.07","23.77","3.45M","-0.74%"
"Nov 11, 2014","24.17","24.19","24.32","24.07","3.89M","-0.49%"
"Nov 10, 2014","24.29","24.30","24.37","24.04","3.48M","0.21%"
"Nov 07, 2014","24.24","23.98","24.30","23.92","6.11M","0.79%"
"Nov 06, 2014","24.05","23.95","24.25","23.26","6.98M","0.50%"
"Nov 05, 2014","23.93","23.36","23.98","23.36","4.19M","2.79%"
"Nov 04, 2014","23.28","23.30","23.48","23.09","3.84M","-0.34%"
"Nov 03, 2014","23.36","22.88","23.48","22.83","3.38M","2.37%"
"Oct 31, 2014","22.82","22.74","22.92","22.55","4.91M","0.97%"
"Oct 30, 2014","22.60","22.00","22.61","21.99","3.75M","2.91%"
"Oct 29, 2014","21.96","21.88","22.20","21.73","2.92M","0.46%"
"Oct 28, 2014","21.86","21.66","21.86","21.32","2.64M","1.39%"
"Oct 27, 2014","21.56","21.90","22.09","21.49","3.02M","-1.82%"
"Oct 24, 2014","21.96","21.91","22.00","21.71","3.17M","0.46%"
"Oct 23, 2014","21.86","21.67","22.11","21.64","4.05M","1.49%"
"Oct 22, 2014","21.54","21.33","21.95","21.33","3.92M","0.80%"
"Oct 21, 2014","21.37","21.08","21.41","21.06","2.68M","1.71%"
"Oct 20, 2014","21.01","20.76","21.04","20.75","2.22M","1.50%"
"Oct 17, 2014","20.70","20.66","20.82","20.48","4.23M","1.12%"
"Oct 16, 2014","20.47","19.73","20.81","19.60","6.29M","2.56%"
"Oct 15, 2014","19.96","20.39","20.64","19.73","9.30M","-3.43%"
"Oct 14, 2014","20.67","20.90","20.96","20.53","5.39M","-0.62%"
"Oct 13, 2014","20.80","21.29","21.36","20.77","4.44M","-1.84%"
"Oct 10, 2014","21.19","21.60","21.87","21.17","3.79M","-2.12%"
"Oct 09, 2014","21.65","22.27","22.42","21.55","4.38M","-2.83%"
"Oct 08, 2014","22.28","21.95","22.30","21.89","3.78M","1.69%"
"Oct 07, 2014","21.91","21.88","22.32","21.82","6.89M","-0.54%"
"Oct 06, 2014","22.03","21.93","22.07","21.77","1.90M","0.55%"
"Oct 03, 2014","21.91","21.52","22.11","21.42","7.75M","2.29%"
"Oct 02, 2014","21.42","21.73","21.86","21.39","4.23M","-1.79%"
"Oct 01, 2014","21.81","21.73","22.05","21.65","6.44M","0.51%"
"Sep 30, 2014","21.70","21.83","21.91","21.51","3.74M","-0.60%"
"Sep 29, 2014","21.83","21.79","21.94","21.64","4.50M","-0.18%"
"Sep 26, 2014","21.87","21.78","21.98","21.61","2.72M","0.18%"
"Sep 25, 2014","21.83","22.07","22.18","21.81","2.12M","-1.04%"
"Sep 24, 2014","22.06","22.38","22.41","22.01","3.00M","-1.56%"
"Sep 23, 2014","22.41","22.69","22.71","22.37","2.81M","-0.97%"
"Sep 22, 2014","22.63","22.69","22.79","22.52","2.86M","-0.57%"
"Sep 19, 2014","22.76","22.50","22.80","22.50","2.46M","1.16%"
"Sep 18, 2014","22.50","22.56","22.77","22.40","3.63M","-0.18%"
"Sep 17, 2014","22.54","22.92","23.00","22.53","2.41M","-1.31%"
"Sep 16, 2014","22.84","22.70","22.97","22.70","2.32M","0.40%"
"Sep 15, 2014","22.75","22.93","22.99","22.63","3.54M","-1.00%"
"Sep 12, 2014","22.98","23.34","23.43","22.96","2.41M","-1.96%"
"Sep 11, 2014","23.44","23.35","23.46","23.07","2.69M","0.00%"
"Sep 10, 2014","23.44","23.46","23.53","23.32","2.46M","-0.04%"
"Sep 09, 2014","23.45","23.74","23.80","23.38","2.55M","-1.47%"
"Sep 08, 2014","23.80","23.97","24.01","23.68","1.71M","-0.96%"
"Sep 05, 2014","24.03","23.84","24.04","23.72","2.29M","0.97%"
"Sep 04, 2014","23.80","23.78","23.86","23.66","3.56M","0.17%"
"Sep 03, 2014","23.76","23.79","23.91","23.58","2.21M","-0.21%"
"Sep 02, 2014","23.81","23.70","23.93","23.62","4.90M","0.17%"
"Aug 29, 2014","23.77","23.62","23.79","23.50","2.03M","1.02%"
"Aug 28, 2014","23.53","23.11","23.60","23.10","2.24M","1.38%"
"Aug 27, 2014","23.21","22.70","23.22","22.65","1.37M","2.47%"
"Aug 26, 2014","22.65","22.83","23.04","22.63","2.72M","-0.61%"
"Aug 25, 2014","22.79","22.58","22.88","22.50","1.84M","1.29%"
"Aug 22, 2014","22.50","22.68","22.80","22.34","2.31M","-0.62%"
"Aug 21, 2014","22.64","22.59","22.95","22.53","2.25M","0.31%"
"Aug 20, 2014","22.57","22.39","22.59","22.26","1.49M","0.58%"
"Aug 19, 2014","22.44","22.10","22.45","22.04","1.80M","1.54%"
"Aug 18, 2014","22.10","21.99","22.25","21.99","1.82M","0.50%"
"Aug 15, 2014","21.99","21.98","22.23","21.84","3.02M","0.27%"
"Aug 14, 2014","21.93","21.77","22.01","21.63","2.59M","0.97%"
"Aug 13, 2014","21.72","21.49","21.79","21.43","5.12M","1.64%"
"Aug 12, 2014","21.37","21.60","21.68","21.34","3.00M","-1.20%"
"Aug 11, 2014","21.63","21.65","21.75","21.50","3.28M","0.23%"
"Aug 08, 2014","21.58","21.47","21.68","21.45","3.06M","0.61%"
"Aug 07, 2014","21.45","21.51","21.75","21.27","3.21M","0.00%"
"Aug 06, 2014","21.45","22.06","22.15","21.40","3.22M","-3.12%"
"Aug 05, 2014","22.14","22.51","22.57","22.00","2.84M","-1.38%"
"Aug 04, 2014","22.45","22.56","22.70","22.01","4.68M","-0.84%"
"Aug 01, 2014","22.64","22.03","22.80","22.03","4.27M","2.72%"
"Jul 31, 2014","22.04","22.00","22.25","21.92","4.28M","-0.32%"
"Jul 30, 2014","22.11","22.42","22.61","21.97","3.65M","-1.51%"
"Jul 29, 2014","22.45","22.65","22.74","22.44","2.70M","-1.06%"
"Jul 28, 2014","22.69","22.84","22.84","22.37","3.50M","2.95%"
"Jul 25, 2014","22.04","22.11","22.19","22.02","1.99M","-0.94%"
"Jul 24, 2014","22.25","22.22","22.34","22.06","2.18M","-0.31%"
"Jul 23, 2014","22.32","22.19","22.37","22.07","1.52M","0.54%"
"Jul 22, 2014","22.20","22.25","22.35","22.18","2.38M","0.09%"
"Jul 21, 2014","22.18","22.33","22.35","22.09","1.42M","-1.20%"
"Jul 18, 2014","22.45","22.24","22.49","22.19","1.29M","0.94%"
